"StateName","StateAbrv","LowZip","HighZip"
"Massachusetts","MA","01000","02799"
"Rhode Island","RI","02800","02999"
"New Hampshire","NH","03000","03899"
"Maine","ME","03900","04999"
"Vermont","VT","05000","05999"
"Connecticut","CT","06000","06999"
"New Jersey","NJ","07000","08999"
"New York","NY","10000","14999"
"Pennsylvania","PA","15000","19699"
"Delaware","DE","19700","19999"
"Washington DC","DC","20000","20599"
"Maryland","MD","20600","21999"
"Virginia","VA","22000","24699"
"West Virginia","WV","24700","26999"
"North Carolina","NC","27000","28999"
"South Carolina","SC","29000","29999"
"Georgia","GA","30000","31999"
"Florida","FL","32000","34999"
"Alabama","AL","35000","36999"
"Tennessee","TN","37000","38599"
"Mississippi","MS","38600","39999"
"Kentucky","KY","40000","42999"
"Ohio","OH","43000","45999"
"Indiana","IN","46000","47999"
"Michigan","MI","48000","49999"
"Iowa","IA","50000","52999"
"Wisconsin","WI","53000","54999"
"Minnesota","MN","55000","56999"
"South Dakota","SD","57000","57999"
"North Dakota","ND","58000","58999"
"Montana","MT","59000","59999"
"Illinois","IL","60000","62999"
"Missouri","MO","63000","65999"
"Kansas","KS","66000","67999"
"Nebraska","NE","68000","69999"
"Louisiana","LA","70000","71599"
"Arkansas","AR","71600","72999"
"Oklahoma","OK","73000","74999"
"Texas","TX","75000","79999"
"Colorado","CO","80000","81999"
"Wyoming","WY","82000","83199"
"Idaho","ID","83200","83999"
"Utah","UT","84000","84999"
"Arizona","AZ","85000","86999"
"New Mexico","NM","87000","88899"
"Nevada","NV","88900","89999"
"California","CA","90000","96699"
"Hawaii","HI","96700","96999"
"Oregon","OR","97000","97999"
"Washington","WA","98000","99499"
"Alaska","AK","99500","99999"
